id_partido;nombre_partido;partido_torneo;IdLiga;torneo;temporada;descripcion_partido;EquipoLocal;EquipoVisitante;GolLocal;fecha_torneo;GolVisitante;espectadores;fecha_hora_partido;fecha_partido;hora_partido;fecha_hora_partido;Id_EquipoLocal;Id_EquipoVisitante;estadio;pais;ciudad;poster_partido;imagen_partido;partido_fanart;partido_thumb;partido_banner;partido_video;estado_partido;partido_pospuesto
508767;West Ham vs Watford;English Premier League 2016-09-10 West Ham vs Watford;4328;English Premier League;2016-2017;;West Ham;Watford;2;4;4;0;;10/9/2016;14:00:00+00:00;;133636;133624;;;;;;;;;;;no
508768;Liverpool vs Leicester;English Premier League 2016-09-10 Liverpool vs Leicester;4328;English Premier League;2016-2017;;Liverpool;Leicester;4;4;1;0;;10/9/2016;16:30:00+00:00;;133602;133626;;;;;;;;;;;no
508769;Swansea vs Chelsea;English Premier League 2016-09-11 Swansea vs Chelsea;4328;English Premier League;2016-2017;;Swansea;Chelsea;2;4;2;0;;11/9/2016;15:00:00+00:00;;133614;133610;;;;;;;;;;;no
508770;Sunderland vs Everton;English Premier League 2016-09-12 Sunderland vs Everton;4328;English Premier League;2016-2017;;Sunderland;Everton;0;4;3;0;;12/9/2016;19:00:00+00:00;;133603;133615;;;;;;;;;;;no
508771;Chelsea vs Liverpool;English Premier League 2016-09-16 Chelsea vs Liverpool;4328;English Premier League;2016-2017;;Chelsea;Liverpool;1;5;2;0;;16/9/2016;19:00:00+00:00;;133610;133602;;;;;;;;;;;no
508772;West Brom vs West Ham;English Premier League 2016-09-17 West Brom vs West Ham;4328;English Premier League;2016-2017;;West Brom;West Ham;4;5;2;0;;17/9/2016;14:00:00+00:00;;133611;133636;;;;;;;;;;;no
508773;Hull vs Arsenal;English Premier League 2016-09-17 Hull vs Arsenal;4328;English Premier League;2016-2017;;Hull;Arsenal;1;5;4;0;;17/9/2016;14:00:00+00:00;;133617;133604;;;;;;;;;;;no
508774;Leicester vs Burnley;English Premier League 2016-09-17 Leicester vs Burnley;4328;English Premier League;2016-2017;;Leicester;Burnley;3;5;0;0;;17/9/2016;14:00:00+00:00;;133626;133623;;;;;;;;;;;no
508775;Man City vs Bournemouth;English Premier League 2016-09-17 Manchester City vs Bournemouth;4328;English Premier League;2016-2017;;Manchester City;Bournemouth;4;5;0;0;;17/9/2016;14:00:00+00:00;;133613;134301;;;;;;;;;;;no
508776;Everton vs Middlesbrough;English Premier League 2016-09-17 Everton vs Middlesbrough;4328;English Premier League;2016-2017;;Everton;Middlesbrough;3;5;1;0;;17/9/2016;16:30:00+00:00;;133615;133628;;;;;;;;;;;no
508777;Watford vs Man United;English Premier League 2016-09-18 Watford vs Manchester United;4328;English Premier League;2016-2017;;Watford;Manchester United;3;5;1;0;;18/9/2016;11:00:00+00:00;;133624;133612;;;;;;;;;;;no
508778;Crystal Palace vs Stoke;English Premier League 2016-09-18 Crystal Palace vs Stoke;4328;English Premier League;2016-2017;;Crystal Palace;Stoke;4;5;1;0;;18/9/2016;13:15:00+00:00;;133632;133609;;;;;;;;;;;no
508779;Southampton vs Swansea;English Premier League 2016-09-18 Southampton vs Swansea;4328;English Premier League;2016-2017;;Southampton;Swansea;1;5;0;0;;18/9/2016;13:15:00+00:00;;134778;133614;;;;;;;;;;;no
508780;Tottenham vs Sunderland;English Premier League 2016-09-18 Tottenham vs Sunderland;4328;English Premier League;2016-2017;;Tottenham;Sunderland;1;5;0;0;;18/9/2016;15:30:00+00:00;;133616;133603;;;;;;;;;;;no
508781;Man United vs Leicester;English Premier League 2016-09-24 Manchester United vs Leicester;4328;English Premier League;2016-2017;;Manchester United;Leicester;4;6;1;0;;24/9/2016;11:30:00+00:00;;133612;133626;;;;;;;;;;;no
508782;Middlesbrough vs Tottenham;English Premier League 2016-09-24 Middlesbrough vs Tottenham;4328;English Premier League;2016-2017;;Middlesbrough;Tottenham;1;6;2;0;;24/9/2016;14:00:00+00:00;;133628;133616;;;;;;;;;;;no
508783;Stoke vs West Brom;English Premier League 2016-09-24 Stoke vs West Brom;4328;English Premier League;2016-2017;;Stoke;West Brom;1;6;1;0;;24/9/2016;14:00:00+00:00;;133609;133611;;;;;;;;;;;no
508784;Sunderland vs Crystal Palace;English Premier League 2016-09-24 Sunderland vs Crystal Palace;4328;English Premier League;2016-2017;;Sunderland;Crystal Palace;2;6;3;0;;24/9/2016;14:00:00+00:00;;133603;133632;;;;;;;;;;;no
508785;Bournemouth vs Everton;English Premier League 2016-09-24 Bournemouth vs Everton;4328;English Premier League;2016-2017;;Bournemouth;Everton;1;6;0;0;;24/9/2016;14:00:00+00:00;;134301;133615;;;;;;;;;;;no
508786;Swansea vs Man City;English Premier League 2016-09-24 Swansea vs Manchester City;4328;English Premier League;2016-2017;;Swansea;Manchester City;1;6;3;0;;24/9/2016;14:00:00+00:00;;133614;133613;;;;;;;;;;;no
508787;Liverpool vs Hull;English Premier League 2016-09-24 Liverpool vs Hull;4328;English Premier League;2016-2017;;Liverpool;Hull;5;6;1;0;;24/9/2016;14:00:00+00:00;;133602;133617;;;;;;;;;;;no
508788;Arsenal vs Chelsea;English Premier League 2016-09-24 Arsenal vs Chelsea;4328;English Premier League;2016-2017;;Arsenal;Chelsea;3;6;0;0;;24/9/2016;16:30:00+00:00;;133604;133610;;;;;;;;;;;no
508789;West Ham vs Southampton;English Premier League 2016-09-25 West Ham vs Southampton;4328;English Premier League;2016-2017;;West Ham;Southampton;0;6;3;0;;25/9/2016;15:00:00+00:00;;133636;134778;;;;;;;;;;;no
508790;Burnley vs Watford;English Premier League 2016-09-26 Burnley vs Watford;4328;English Premier League;2016-2017;;Burnley;Watford;2;6;0;0;;26/9/2016;19:00:00+00:00;;133623;133624;;;;;;;;;;;no
508792;Everton vs Crystal Palace;English Premier League 2016-10-01 Everton vs Crystal Palace;4328;English Premier League;2016-2017;;Everton;Crystal Palace;1;7;1;0;;30/9/2016;19:00:00+00:00;;133615;133632;;;;;;;;;;;no
508793;Watford vs Bournemouth;English Premier League 2016-10-01 Watford vs Bournemouth;4328;English Premier League;2016-2017;;Watford;Bournemouth;2;7;2;0;;1/10/2016;14:00:00+00:00;;133624;134301;;;;;;;;;;;no
508794;Hull vs Chelsea;English Premier League 2016-10-01 Hull vs Chelsea;4328;English Premier League;2016-2017;;Hull;Chelsea;0;7;2;0;;1/10/2016;14:00:00+00:00;;133617;133610;;;;;;;;;;;no
508795;West Ham vs Middlesbrough;English Premier League 2016-10-01 West Ham vs Middlesbrough;4328;English Premier League;2016-2017;;West Ham;Middlesbrough;1;7;1;0;;1/10/2016;14:00:00+00:00;;133636;133628;;;;;;;;;;;no
508798;Sunderland vs West Brom;English Premier League 2016-10-01 Sunderland vs West Brom;4328;English Premier League;2016-2017;;Sunderland;West Brom;1;7;1;0;;1/10/2016;14:00:00+00:00;;133603;133611;;;;;;;;;;;no
508799;Swansea vs Liverpool;English Premier League 2016-10-01 Swansea vs Liverpool;4328;English Premier League;2016-2017;;Swansea;Liverpool;1;7;2;0;;1/10/2016;11:30:00+00:00;;133614;133602;;;;;;;;;;;no
508791;Tottenham vs Man City;English Premier League 2016-10-01 Tottenham vs Manchester City;4328;English Premier League;2016-2017;;Tottenham;Manchester City;2;7;0;0;;2/10/2016;13:15:00+00:00;;133616;133613;;;;;;;;;;;no
508796;Leicester vs Southampton;English Premier League 2016-10-01 Leicester vs Southampton;4328;English Premier League;2016-2017;;Leicester;Southampton;0;7;0;0;;2/10/2016;13:15:00+00:00;;133626;134778;;;;;;;;;;;no
508797;Man United vs Stoke;English Premier League 2016-10-01 Manchester United vs Stoke;4328;English Premier League;2016-2017;;Manchester United;Stoke;1;7;1;0;;2/10/2016;11:00:00+00:00;;133612;133609;;;;;;;;;;;no
508800;Burnley vs Arsenal;English Premier League 2016-10-01 Burnley vs Arsenal;4328;English Premier League;2016-2017;;Burnley;Arsenal;0;7;1;0;;2/10/2016;15:30:00+00:00;;133623;133604;;;;;;;;;;;no
508801;Crystal Palace vs West Ham;English Premier League 2016-10-15 Crystal Palace vs West Ham;4328;English Premier League;2016-2017;;Crystal Palace;West Ham;0;8;1;0;;15/10/2016;16:30:00+00:00;;133632;133636;;;;;;;;;;;no
508803;Man City vs Everton;English Premier League 2016-10-15 Manchester City vs Everton;4328;English Premier League;2016-2017;;Manchester City;Everton;1;8;1;0;;15/10/2016;14:00:00+00:00;;133613;133615;;;;;;;;;;;no
508805;Arsenal vs Swansea;English Premier League 2016-10-15 Arsenal vs Swansea;4328;English Premier League;2016-2017;;Arsenal;Swansea;3;8;2;0;;15/10/2016;14:00:00+00:00;;133604;133614;;;;;;;;;;;no
508807;Bournemouth vs Hull;English Premier League 2016-10-15 Bournemouth vs Hull;4328;English Premier League;2016-2017;;Bournemouth;Hull;6;8;1;0;;15/10/2016;14:00:00+00:00;;134301;133617;;;;;;;;;;;no
508808;Stoke vs Sunderland;English Premier League 2016-10-15 Stoke vs Sunderland;4328;English Premier League;2016-2017;;Stoke;Sunderland;2;8;0;0;;15/10/2016;14:00:00+00:00;;133609;133603;;;;;;;;;;;no
508809;Chelsea vs Leicester;English Premier League 2016-10-15 Chelsea vs Leicester;4328;English Premier League;2016-2017;;Chelsea;Leicester;3;8;0;0;;15/10/2016;11:30:00+00:00;;133610;133626;;;;;;;;;;;no
508810;West Brom vs Tottenham;English Premier League 2016-10-15 West Brom vs Tottenham;4328;English Premier League;2016-2017;;West Brom;Tottenham;1;8;1;0;;15/10/2016;14:00:00+00:00;;133611;133616;;;;;;;;;;;no
